音楽を<聞きた>。	音楽を(聞いた)。
<小さなります>。	(小さくなります)。
私のパーティーに<きる>。	私のパーティーに(くる)。
明日のテストのために勉強<ました>。	明日のテストのために勉強(しました)。
<これ人>はだれですか。	(この人)はだれですか。
<それ人>はだれですか。	(その人)はだれですか。
<あれ人>はだれですか。	(あの人)はだれですか。
去年、東京に<住みだ>。	去年、東京に(住んでいました)。
<去年、東京に住みだ>。	(去年は東京に住んでいました)。
去年、東京に<住みだ>。	去年、東京に(住んだ)。
<宿題をしった>。	(宿題をした)。
宿題を<しった>>。	宿題を(しました)。
宿題がたくさん<ある、忙しかった>です。	宿題がたくさん(あって、忙しかった)です。
ハロウィーンに<こわいの映画>を見ました。	ハロウィーンに(こわい映画)を見ました。
<トムさんは宿題する>。	(トムさんは宿題をする)。
<トムさんは宿題をしる>。	(トムさんは宿題をする)。
コーヒーを飲んだら、<ねれません>。	コーヒーを飲んだら、(ねられません)。
<つまらないのテレビ>です。	(つまらないテレビ)です。
私はテキストチャットを<しませんです>。	私はテキストチャットを(しません)。
私はテキストチャットを<しませんです>。	私はテキストチャットを(しませんでした)。
<あそこの所>に行きました。	(あそこ)に行きました。
<あそこの所>に行きました。	(あの所)に行きました。
<うちに帰た>。	(うちに帰った)。
<うちに帰た>。	(うちに帰りました)。
春に学校が<始ます>。	春に学校が(始まります)。
春に<学校を始まる>。	春に(学校が始まる)。
あの車の下に<白いのねこ>が見えます。	あの車の下に(白いねこ)が見えます。
宿題を<すない>。	宿題を(しない)。
彼が自分の夢を<語るて>くれた。	彼が自分の夢を(語って)くれた。
<きれくて>、すごいです。	(きれいで)、すごいです。
<綺麗くて>、すごいです。	(綺麗で)、すごいです。
<日本に行くと>、友達にあうつもりです。	(日本に行ったら、)、友達にあうつもりです。
日本に<行くと>、友達にあうつもりです。	日本に(行ったら)、友達にあうつもりです。
日本人の<友達あります>。	日本人の(友達がいます)。
<月曜日の先生>にあいました。	(月曜日に先生)にあいました。
<月曜日の先生>にあいました。	(月曜日、先生)にあいました。
月曜日に<先生が会った>。	月曜日に(先生に会った)。
月曜日に<先生が会った>。	月曜日に(先生と会った)。
五人家族が<あります>。	五人家族が(います)。
<五人家族があります>。	(五人家族です)。
<五人家族があります>。	(家族が五人います)。
日本語で<歌えります>。	日本語で(歌えます)。
このダイエット法を皆さんに、<おすすめます>。	このダイエット法を皆さんに、(おすすめします)。
<このダイエット法、皆さん>に、おすすめします。	(このダイエット法を、皆さん)におすすめします。
<このダイエット法、皆さん>に、おすすめします。	(このダイエット法を皆さん)におすすめします。
私は妹が<ありません>。	私は妹が(いません)。
パーティに<来る>ください。	パーティに(来て)ください。
私がお勘定を<払って>です。	私がお勘定を(払った)です。
私がお勘定を<払って>です。	私がお勘定を(払った)。
私がお勘定を<払ってです>。	私がお勘定を(払います)。
たけしさんは背が<低かた>です。	たけしさんは背が(低かった)です。
たけしさんは背が<低かたです>。	たけしさんは背が(低かった)。
赤ちゃんが<わらうです>。	赤ちゃんが(わらう)。
赤ちゃんが<わらうです>。	赤ちゃんが(わらうのです)。
赤ちゃんが<わらうです>。	赤ちゃんが(わらいます)。
大学に<行きて>、友達にあいます。	大学に(行って)、友達にあいます。
大学<に行きて>、友達にあいます。	大学(で)、友達にあいます。
大きい犬は、<こわいました>。	大きい犬は、(こわいです)。
<大きい犬は、こわいました>。	(大きい犬は、こわかったです)。
休みは<忙しいでした>。	休みは(忙しかったです)。
休みは<忙しいでした>。	休みは(忙しいかったです)。
ジムさんは少し<太いいます>。	ジムさんは少し(太っています)。
ジムさんは少し<太いいます>。	ジムさんは少し(太いです)。
黒板を<消えないで>ください。	黒板を(消さないで)ください。
黒板を<消さなくてください>。	黒板を(消さないでください)。
町田さんの子供は<大きい>なりました。	町田さんの子供は(大きく)なりました。
先生がレッスンを<始まり>ました。	先生がレッスンを(始め)ました。
<小さかった>時、犬が嫌いでした。	(小さい)時、犬が嫌いでした。
<最後な違う>点です。	(最後の違う)点です。
<最後目>の違う点です。	(最後)の違う点です。
ねこは<可愛いで>好きです。	ねこは(可愛くて)好きです。
ねこは<可愛いで好きです>。	ねこは(可愛いので好きです)。
ねこは<可愛いくので好きです>。	ねこは(可愛いので好きです)。
ご飯を食べたから、<ねむいに>なりました。	ご飯を食べたから、(ねむく)なりました。
テニスの選手は、試合で<勝つなら、>いくらもらえますか。	テニスの選手は、試合で(勝ったら)いくらもらえますか。
<昨日雪が降る>。	(昨日、雪が降った)。
<昨日雪が降る>。	(昨日、雪が降りました)。
